TAG_CAT;TAG_ID;TAG_NAME;TAG_CNT;FR_ID;MAL_ID;MAL_NAME;MAL_CNT
4;1262548;ichinomiya_sakura;8;1072803;;;
4;1262902;hekatonkheires;8;701465;;;
4;1263153;jose_(kudaranu_mousou_no);8;707424;;;
4;1263217;a_(nostalgic);8;461748;;;
4;1263654;kagerou_(witoru);8;707426;;;
4;1263688;mark_(s//d);8;1263689;;;
4;1264060;lefia;8;1263683;;;
4;1264118;urumi_chapupu;8;709959;;;
4;1264137;kamen_rider_duke;8;376302;;;
4;1264191;minori_(harvest_moon);8;21350;;;
4;1264279;nergal_(sailor_moon);8;515681;;;
4;1264424;metal-tan;8;576342;;;
4;1264451;blue_twin;8;408179;;;
4;1264563;narusawa_rikka;8;1264562;;;
4;1264576;kagami_hekiru;8;1264571;;;
4;1264608;shimofuri-tan;8;408179;;;
4;1264767;tsuruno_satsuki;8;1239737;;;
4;1265095;kanon_(vocaloid);8;385445;;;
4;1265107;karashi_(hoozuki_no_reitetsu);8;711956;99277;Karashi;55
4;1265546;yougen_(fantasista_doll);8;701267;;;
4;1266626;hieda_no_ayumi;8;29;;;
4;1267043;kacchi_(moko_moko_box);8;1228015;;;
4;1267208;shabotan_alma;8;698622;;;
4;1267265;colette_caron;8;;;;
4;1267483;yomisaka_neneko;8;1284019;;;
4;1267646;ethini;8;1500404;;;
4;1267844;misutoretto_(reizoku_ichiba);8;1262584;;;
4;1267988;sakuragi_fumika;8;1267989;;;
4;1268056;femini;8;1500404;;;
4;1268101;tio_(mishima_kurone);8;1428752;;;
4;1268326;kuriyama_yumino;8;1268325;;;
4;1268361;wing_gundam_fenice_rinascita;8;76;;;
4;1268748;fujibayashi_sora;8;1305289;;;
4;1269415;kamiki_suzuka;8;1261480;106181;Rinka Kamiki;1
4;1269799;seirios_(kotoba);8;;;;
4;1270090;inami_mashiro;8;1269982;;;
4;1270280;ashiya_(senran_kagura);8;619321;;;
4;1270568;magical_star_saki;8;461458;;;
4;1270776;chihaya_(senran_kagura);8;619321;;;
4;1270828;ageha_(senran_kagura);8;619321;;;
4;1270842;kurokawa_yukano;8;1270843;;;
4;1270860;eiyuuzaki_rin;8;652682;95227;Rin Eiyuuzaki;5
4;1270861;ninjabayashi_ruri;8;652682;95685;Ruri Ninjabayashi;8
4;1270973;satori_ken;8;1243382;108643;Ken Satori;4
4;1271452;shinozaki_ai_(real_life);8;597823;;;
4;1271943;frederica_lipps;8;409524;;;
4;1272118;mizoguchi_touma;8;711454;;;
4;1272305;end_bunny_(disney);8;5649;;;
